"Date","Impressions","Installations"
"2016-03-25","485.0","10.0"
"2016-03-26","397.0","5.0"
"2016-03-27","400.0","10.0"
"2016-03-28","574.0","8.0"
"2016-03-29","688.0","18.0"
"2016-03-30","603.0","6.0"
"2016-03-31","674.0","16.0"
"2016-04-01","644.0","9.0"
"2016-04-02","409.0","10.0"
"2016-04-03","449.0","4.0"
"2016-04-04","574.0","13.0"
"2016-04-05","630.0","12.0"
"2016-04-06","681.0","17.0"
"2016-04-07","730.0","20.0"
"2016-04-08","696.0","16.0"
"2016-04-09","394.0","8.0"
"2016-04-10","383.0","12.0"
"2016-04-11","669.0","21.0"
"2016-04-12","689.0","20.0"
"2016-04-13","689.0","8.0"
"2016-04-14","734.0","19.0"
"2016-04-15","720.0","11.0"
"2016-04-16","474.0","6.0"
"2016-04-17","495.0","7.0"
"2016-04-18","756.0","15.0"
"2016-04-19","801.0","13.0"
"2016-04-20","762.0","17.0"
"2016-04-21","841.0","20.0"
"2016-04-22","825.0","11.0"
"2016-04-23","484.0","6.0"
"2016-04-24","495.0","6.0"
"2016-04-25","818.0","16.0"
"2016-04-26","890.0","24.0"
"2016-04-27","868.0","15.0"
"2016-04-28","884.0","24.0"
"2016-04-29","808.0","13.0"
"2016-04-30","490.0","11.0"
"2016-05-01","495.0","9.0"
"2016-05-02","805.0","16.0"
"2016-05-03","830.0","19.0"
"2016-05-04","931.0","21.0"
"2016-05-05","810.0","16.0"
"2016-05-06","708.0","6.0"
"2016-05-07","434.0","8.0"
"2016-05-08","424.0","3.0"
"2016-05-09","787.0","25.0"
"2016-05-10","909.0","24.0"
"2016-05-11","855.0","16.0"
"2016-05-12","935.0","16.0"
"2016-05-13","854.0","15.0"
"2016-05-14","509.0","5.0"
"2016-05-15","551.0","12.0"
"2016-05-16","904.0","20.0"
"2016-05-17","940.0","17.0"
"2016-05-18","884.0","14.0"
"2016-05-19","993.0","20.0"
"2016-05-20","955.0","13.0"
"2016-05-21","588.0","5.0"
"2016-05-22","629.0","2.0"
"2016-05-23","868.0","15.0"
"2016-05-24","954.0","14.0"
"2016-05-25","841.0","16.0"
"2016-05-26","837.0","8.0"
"2016-05-27","701.0","11.0"
"2016-05-28","528.0","8.0"
"2016-05-29","487.0","6.0"
"2016-05-30","553.0","13.0"
"2016-05-31","705.0","14.0"
"2016-06-01","841.0","18.0"
"2016-06-02","747.0","16.0"
"2016-06-03","650.0","14.0"
"2016-06-04","498.0","11.0"
"2016-06-05","475.0","10.0"
"2016-06-06","636.0","9.0"
"2016-06-07","718.0","18.0"
"2016-06-08","728.0","13.0"
"2016-06-09","674.0","11.0"
"2016-06-10","571.0","12.0"
"2016-06-11","448.0","2.0"
"2016-06-12","474.0","11.0"
"2016-06-13","627.0","17.0"
"2016-06-14","634.0","12.0"
"2016-06-15","651.0","11.0"
"2016-06-16","609.0","5.0"
"2016-06-17","529.0","6.0"
"2016-06-18","453.0","8.0"
"2016-06-19","457.0","4.0"
"2016-06-20","608.0","6.0"
"2016-06-21","600.0","7.0"
"2016-06-22","576.0","8.0"
"2016-06-23","593.0","7.0"
